,0
job_role,13.0
api_job_gender,3.0
year_of_passing_from,2016.0
year_of_passing_to,2017.0
hq_marks_percentage_from,60.0
hq_marks_percentage_to,100.0
hq_marks_cgpa_from,6.0
hq_marks_cgpa_to,10.0
api_applications_created,1515396914.0
users_city_id,65.0
users_state_id,16.0
profile_percentage,75.0
no_of_employees,3.0
FemaleFlag,1.0
CalLetterFlag,0.0
Chennai,0.0
Kolkata,0.0
Hyderabad,0.0
NCR,0.0
Ahmedabad,0.0
Bangalore,0.0
MumbaiPune,0.0
India_HQ,-1.0
napplications_t_male_jbrl,109401.0
napplications_t_female_jbrl,73704.0
napplicants_t_male_jbrl,29187.0
napplicants_t_female_jbrl,19222.0
client_id_napplications_t,827.0
client_id_njob_ids_t,1.0
njob_ids_t_jbrl,1228.0
yearBirth,1995.0
CashFlow,3974.22671550885
ProfitMargin_Percent,11.127
ROE_Percent,21.375
ROCE_Percent,21.258
CurrentRatio,2.0
SolvencyRatio,59.573
OperatingRevenue,36754.508
OperatingProfitPerShare,0.58745044
EarningsPerShare,0.67366087
NetIncome,2044.6742
P_LBeforeTax,2133.438
ShareholdersFunds,5744.6304
TotalAssets,12568.671
MarketCap,11034.721
PriceEarningsRatio_Avg,14.429
